paper_id,source,submission_id,status,created_at,completed_at,gpt_5.4_overall,gpt_5.4_quality,gpt_5.4_clarity,gpt_5.4_significance,gpt_5.4_originality,gpt_5.4_confidence,num_models_ok,num_failures,failed_models,has_synthesis,gemini_3.1_pro_overall,gemini_3.1_pro_quality,gemini_3.1_pro_clarity,gemini_3.1_pro_significance,gemini_3.1_pro_originality,gemini_3.1_pro_confidence,claude_opus_4.6_overall,claude_opus_4.6_quality,claude_opus_4.6_clarity,claude_opus_4.6_significance,claude_opus_4.6_originality,claude_opus_4.6_confidence,synthesis_overall,synthesis_quality,synthesis_clarity,synthesis_significance,synthesis_originality
FA0001,Cycle Researcher,8b1056ed-6f00-4529-8aef-5b6f094de5bd,completed,2026-04-15T01:19:32.162000,2026-04-15T01:28:42.283000,2,1,1,1,1,4,3,0,,yes,1,1,1,1,2,5,1,1,1,1,1,5,1,1,1,1,1
FA0005,Cycle Researcher,5635c6da-c9e9-4cb4-bfc4-7fad85c824ca,completed,2026-04-15T01:19:33.787000,2026-04-15T01:29:39.294000,2,1,1,2,2,4,3,0,,yes,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1
FA0006,Cycle Researcher,7a3c8155-012a-467a-812d-f9db521f890c,completed,2026-04-15T01:19:35.094000,2026-04-15T01:27:45.758000,2,1,2,2,1,3,3,0,,yes,1,1,1,1,1,5,1,1,2,1,1,4,1,1,2,1,1
FA0007,Cycle Researcher,bd21ac4c-3a8a-4e98-9dc7-bfa57ad91e45,completed,2026-04-15T01:19:36.417000,2026-04-15T01:28:44.038000,2,2,2,2,2,3,3,0,,yes,1,1,1,1,2,5,1,1,2,1,1,5,1,1,2,1,2
FA0013,Cycle Researcher,49959e8d-9e12-4d9b-92a4-a32da83a5d82,completed,2026-04-15T01:19:37.732000,2026-04-15T01:28:10.766000,2,1,2,1,2,3,3,0,,yes,1,1,2,1,1,5,1,1,2,1,1,5,1,1,2,1,1
FA0015,Cycle Researcher,70cf6d46-704d-4ace-bd36-8bb019a5d6c4,completed,2026-04-15T01:19:39.039000,2026-04-15T01:29:00.711000,2,1,2,2,1,4,3,0,,yes,1,1,1,1,1,5,1,1,2,1,1,5,1,1,2,1,1
FA0020,Cycle Researcher,2e6e3329-ef52-48d8-9bda-b825639c6d82,completed,2026-04-15T01:19:40.311000,2026-04-15T01:28:13.461000,2,1,2,1,2,4,3,0,,yes,1,1,1,1,1,5,1,1,2,1,2,5,1,1,2,1,2
FA0021,Cycle Researcher,004d5b91-a0c9-4136-9995-5671e068c216,completed,2026-04-15T01:19:41.592000,2026-04-15T01:28:23.242000,2,1,2,2,2,4,3,0,,yes,1,1,1,1,1,5,1,1,1,1,1,4,1,1,1,1,1
FA0035,Cycle Researcher,de2dc9bb-8323-437a-9cfc-9d288cec7348,completed,2026-04-15T01:19:42.877000,2026-04-15T01:27:25.542000,2,1,2,2,2,3,3,0,,yes,1,1,1,1,1,5,1,1,2,1,1,4,1,1,2,1,1
FA0042,Cycle Researcher,c782dc57-5328-4896-8569-562a37883632,completed,2026-04-15T01:19:44.195000,2026-04-15T01:30:59.855000,2,1,2,1,2,4,3,0,,yes,1,1,1,1,3,5,1,1,1,1,1,5,1,1,1,1,2
FA0046,Cycle Researcher,e9cabf42-ea31-47d8-9350-a8952c838047,completed,2026-04-15T01:19:45.466000,2026-04-15T01:27:23.665000,2,1,1,2,2,3,3,0,,yes,1,1,1,1,1,5,1,1,2,1,1,5,1,1,1,1,1
FA0063,Cycle Researcher,3d092c08-e683-4eba-9728-e4d774a8ad13,completed,2026-04-15T01:19:46.739000,2026-04-15T01:28:50.324000,2,1,2,2,2,4,3,0,,yes,1,1,1,1,2,4,1,1,2,1,1,5,1,1,2,1,2
FA0067,Cycle Researcher,298f2c45-aafe-46cd-b454-79a7b48dc8d5,completed,2026-04-15T01:19:48.014000,2026-04-15T01:27:45.334000,2,1,2,1,2,3,3,0,,yes,1,1,1,1,2,5,1,1,2,1,2,5,1,1,2,1,2
FA0077,Cycle Researcher,e7a47c96-ecb3-4e3f-8d1c-5c83f7aed5f3,completed,2026-04-15T01:19:49.304000,2026-04-15T01:31:13.614000,2,1,2,2,2,4,3,0,,yes,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1
FA0080,Cycle Researcher,a2c59356-440e-4dc5-85cb-d54aa18567e2,completed,2026-04-15T01:19:50.647000,2026-04-15T01:31:18.715000,2,1,2,1,1,4,3,0,,yes,1,1,1,1,1,5,1,1,2,1,1,5,1,1,2,1,1
FA0001,Data-to-Paper,e738faba-a269-4350-8f28-4c62a4a0da38,completed,2026-04-15T01:19:51.991000,2026-04-15T01:39:10.690000,2,2,2,1,2,3,3,0,,yes,1,1,2,1,1,5,1,2,2,1,1,5,1,2,2,1,1
FA0005,Data-to-Paper,0db5507b-50cc-4b15-9742-bee5939dcfcf,completed,2026-04-15T01:19:53.307000,2026-04-15T01:45:15.126000,2,1,2,1,2,4,3,0,,yes,1,1,1,1,1,5,1,1,2,1,1,5,1,1,2,1,1
FA0006,Data-to-Paper,15c41475-3856-4263-a32c-82b8ef3f839a,completed,2026-04-15T01:19:54.694000,2026-04-15T01:42:35.252000,1,1,2,1,1,4,3,0,,yes,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1
FA0007,Data-to-Paper,f8898b46-3cf0-4c46-adb3-641025589442,completed,2026-04-15T01:19:56.060000,2026-04-15T01:41:31.170000,2,1,2,1,1,4,3,0,,yes,1,1,4,1,1,5,1,1,2,1,1,5,1,1,2,1,1
FA0013,Data-to-Paper,3013786e-0325-4d32-90b8-b31389f49f7b,completed,2026-04-15T01:19:57.406000,2026-04-15T01:38:09.361000,2,1,2,2,2,3,3,0,,yes,2,1,2,1,2,5,1,1,2,1,1,4,2,1,2,1,2
FA0015,Data-to-Paper,87667b8d-76a3-4147-8289-fd8d096cf86b,completed,2026-04-15T01:19:58.761000,2026-04-15T01:38:44.698000,1,1,2,1,2,4,3,0,,yes,1,1,1,1,1,5,1,1,2,1,1,5,1,1,2,1,1
FA0020,Data-to-Paper,749ac31b-bb1f-4829-90a6-935ac07da69f,completed,2026-04-15T01:20:00.098000,2026-04-15T01:40:36.652000,2,2,2,1,1,4,3,0,,yes,1,1,2,1,1,5,1,1,2,1,1,5,1,1,2,1,1
FA0021,Data-to-Paper,8156ccac-f3bc-43e5-8669-74cef30169b6,completed,2026-04-15T01:20:01.416000,2026-04-15T01:45:11.292000,2,1,2,1,2,4,3,0,,yes,1,1,2,1,1,5,1,1,2,1,1,5,1,1,2,1,1
FA0035,Data-to-Paper,7a5845b0-2e31-4771-9f8f-0cd168afb8bb,completed,2026-04-15T01:20:02.785000,2026-04-15T01:40:42.066000,2,2,2,2,1,4,3,0,,yes,1,1,1,1,1,5,1,1,2,1,1,5,1,1,2,1,1
FA0042,Data-to-Paper,9dcd7650-79b5-4331-8d30-2e2a0280dbd2,completed,2026-04-15T01:20:04.207000,2026-04-15T01:40:18.613000,2,2,2,2,2,4,3,0,,yes,1,1,3,1,1,5,1,1,2,1,1,5,1,1,2,1,1
FA0046,Data-to-Paper,89ca8a08-7b51-49b5-a074-0393c1cca1d7,completed,2026-04-15T01:20:05.594000,2026-04-15T01:42:24.794000,2,1,2,1,1,4,3,0,,yes,1,1,2,1,2,5,1,1,2,1,1,5,1,1,2,1,1
FA0063,Data-to-Paper,e94d40da-b896-4331-a4f6-f4dcdfcfcb9a,completed,2026-04-15T01:20:07.160000,2026-04-15T01:43:10.435000,2,1,2,1,1,4,3,0,,yes,1,1,4,1,1,5,1,1,2,1,1,5,1,1,2,1,1
FA0067,Data-to-Paper,a0b9342a-d0c3-4e53-bf8d-1fb0f6ebb801,completed,2026-04-15T01:20:08.518000,2026-04-15T01:43:08.906000,2,1,2,1,2,4,3,0,,yes,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1
FA0077,Data-to-Paper,70ac9094-c8a6-4482-8344-22660c204e2f,completed,2026-04-15T01:20:09.878000,2026-04-15T01:44:04.590000,2,1,2,1,2,4,3,0,,yes,1,1,2,1,1,5,1,1,2,1,1,5,1,1,2,1,1
FA0080,Data-to-Paper,a2101508-c84d-4374-8761-71414b32e08b,completed,2026-04-15T01:20:11.237000,2026-04-15T01:45:41.627000,2,1,2,1,2,4,3,0,,yes,1,1,3,1,1,5,1,1,2,1,1,5,1,1,2,1,1
FA0001,FARS,0506e6e0-2ef1-4a73-977a-6348ba137b10,completed,2026-04-15T01:20:12.678000,2026-04-15T01:51:21.813000,2,2,2,2,2,4,3,0,,yes,2,2,2,2,3,5,3,2,2,2,2,4,2,2,2,2,2
FA0005,FARS,05b8a85a-3cce-475e-8a3d-fe3c18ec9808,completed,2026-04-15T01:20:14.173000,2026-04-15T01:51:34.853000,2,2,2,2,2,4,3,0,,yes,3,2,2,2,3,4,3,2,2,2,2,4,3,2,2,2,2
FA0006,FARS,acee7a3b-a8ce-4b27-9d98-f2e6da34dd42,completed,2026-04-15T01:20:15.656000,2026-04-15T01:52:35.357000,3,2,3,2,2,3,3,0,,yes,4,3,4,3,3,4,3,2,3,2,2,4,3,2,3,2,2
FA0007,FARS,11d87109-b1af-4e69-ae19-ee8a5708d664,completed,2026-04-15T01:20:17.251000,2026-04-15T01:56:07.659000,3,2,3,3,2,3,3,0,,yes,3,2,4,3,3,4,3,2,3,2,2,4,3,2,3,3,2
FA0013,FARS,f65bcc1e-ea9a-42b3-9e8f-5a226dab4ad0,completed,2026-04-15T01:20:18.805000,2026-04-15T01:52:14.797000,2,2,2,2,2,4,3,0,,yes,2,2,4,2,2,4,2,2,3,2,2,4,2,2,3,2,2
FA0015,FARS,7f759619-519f-4667-8e30-c24ff3c8c949,completed,2026-04-15T01:20:20.328000,2026-04-15T01:55:48.983000,2,2,2,2,2,4,3,0,,yes,2,2,4,2,3,5,2,2,3,2,2,4,2,2,3,2,2
FA0020,FARS,f17943d5-ced1-48db-89f1-8710822e67d0,completed,2026-04-15T01:20:21.812000,2026-04-15T01:56:28.124000,2,2,2,2,2,4,3,0,,yes,2,2,4,2,2,4,2,2,3,1,2,4,2,2,3,2,2
FA0021,FARS,6625f906-51b5-449e-954d-e35cd24b64fb,completed,2026-04-15T01:20:23.880000,2026-04-15T01:54:14.111000,2,2,2,2,2,3,3,0,,yes,2,1,4,2,3,5,2,2,3,2,2,3,2,2,3,2,2
FA0035,FARS,3c25e445-2144-4459-9ede-32acae8a7e2c,completed,2026-04-15T01:20:25.323000,2026-04-15T01:55:44.230000,2,2,2,2,2,4,3,0,,yes,4,2,3,3,3,4,2,2,3,1,1,4,2,2,3,2,2
FA0042,FARS,653317de-e24a-4ab9-be30-dc334d1a0de8,completed,2026-04-15T01:20:26.831000,2026-04-15T01:54:59.274000,,,,,,,2,1,azure/gpt-5.4-review,yes,3,2,4,3,3,4,3,2,2,2,2,4,3,2,3,2,2
FA0046,FARS,5734eccb-1cf5-448e-bc9c-5e235d1a5f25,completed,2026-04-15T01:20:28.401000,2026-04-15T01:56:54.410000,2,2,2,2,2,4,3,0,,yes,2,1,3,2,3,5,2,2,3,1,2,4,2,2,3,2,2
FA0063,FARS,25045ba6-e7b0-45df-b9e8-81bd0eaa6610,completed,2026-04-15T01:20:29.849000,2026-04-15T01:59:46.702000,2,2,3,2,2,4,3,0,,yes,2,2,4,2,3,5,3,2,3,2,2,4,2,2,3,2,2
FA0067,FARS,d521e50a-7f48-4677-be21-b4ebea822625,completed,2026-04-15T01:20:31.360000,2026-04-15T02:01:24.641000,2,2,2,2,2,4,3,0,,yes,2,1,3,1,2,5,2,2,3,1,2,4,2,2,3,1,2
FA0077,FARS,df3f1391-39ae-40cb-ac65-c35e1e8bb075,completed,2026-04-15T01:20:32.871000,2026-04-15T02:00:22.282000,2,2,2,2,2,3,3,0,,yes,3,2,3,3,3,4,2,2,3,1,2,4,2,2,3,2,2
FA0080,FARS,53a1db53-7463-403d-a382-b44d788ae931,completed,2026-04-15T01:20:34.388000,2026-04-15T02:00:46.895000,2,2,3,2,2,4,3,0,,yes,1,1,3,1,3,5,3,2,3,2,2,4,2,2,3,2,2
FA0001,Sakana v1,81d7a25d-dec3-4622-b4c4-ddcf8c2a451f,completed,2026-04-15T01:20:35.693000,2026-04-15T02:04:07.401000,2,1,2,1,1,4,3,0,,yes,1,1,1,1,2,5,1,1,1,1,1,5,1,1,1,1,1
FA0005,Sakana v1,2658ccdf-2293-46f4-971c-3ecb8ac4ec4b,completed,2026-04-15T01:20:36.966000,2026-04-15T02:03:23.251000,2,1,2,1,1,4,3,0,,yes,1,1,1,1,1,5,1,1,2,1,1,5,1,1,2,1,1
FA0006,Sakana v1,eee024f0-0f3a-4b18-b2a5-ca9c5623ae1d,completed,2026-04-15T01:20:38.245000,2026-04-15T02:05:25.819000,2,1,2,1,1,3,3,0,,yes,1,1,2,1,1,5,1,1,1,1,1,5,1,1,2,1,1
FA0007,Sakana v1,60c36c00-fb66-49ce-88fb-ce22c4ebc25a,completed,2026-04-15T01:20:39.600000,2026-04-15T02:01:59.482000,2,1,1,1,2,4,3,0,,yes,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1
FA0013,Sakana v1,b870d55f-77f4-453f-87ea-0d8da8f4bf38,completed,2026-04-15T01:20:40.950000,2026-04-15T02:07:34.986000,1,1,2,1,1,4,3,0,,yes,1,1,1,1,1,5,1,1,1,1,2,5,1,1,1,1,1
FA0015,Sakana v1,4b741379-5474-450a-ad24-9057e21a156e,completed,2026-04-15T01:20:42.274000,2026-04-15T02:07:16.471000,2,1,2,1,1,3,3,0,,yes,1,1,1,1,1,5,1,1,2,1,1,5,1,1,2,1,1
FA0020,Sakana v1,aefa324a-a64f-498c-90dc-5aa1f7aed977,completed,2026-04-15T01:20:43.558000,2026-04-15T02:07:38.714000,2,1,2,1,1,4,3,0,,yes,1,1,2,1,1,5,1,1,1,1,1,5,1,1,2,1,1
FA0021,Sakana v1,532f2085-2381-4932-b7c8-3bf0467a9129,completed,2026-04-15T01:20:44.872000,2026-04-15T02:10:18.124000,2,1,1,1,2,4,3,0,,yes,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1
FA0035,Sakana v1,a2215d32-1668-45cc-82e0-1564481b4154,completed,2026-04-15T01:20:46.157000,2026-04-15T02:07:44.831000,2,1,2,1,1,4,3,0,,yes,1,1,1,1,1,5,1,1,1,1,2,5,1,1,1,1,1
FA0042,Sakana v1,1616f9f1-62fb-4785-9d8f-b309fd067ce2,completed,2026-04-15T01:20:47.478000,2026-04-15T02:08:28.032000,2,1,2,1,2,4,3,0,,yes,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1
FA0046,Sakana v1,1efeb98c-1749-4f65-9d6b-6400bfc6480d,completed,2026-04-15T01:20:48.830000,2026-04-15T02:11:50.698000,2,1,1,1,2,4,3,0,,yes,1,1,2,1,1,5,1,1,2,1,1,5,1,1,2,1,1
FA0063,Sakana v1,dda392d6-ec33-4ffa-bf44-a5d51e93ddd2,completed,2026-04-15T01:20:50.133000,2026-04-15T02:13:57.740000,2,1,1,1,2,3,3,0,,yes,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1
FA0067,Sakana v1,ef560147-a1db-4e42-9be8-d32aa5df17be,completed,2026-04-15T01:20:51.405000,2026-04-15T02:10:23.761000,1,1,2,1,1,4,3,0,,yes,1,1,1,1,1,5,1,1,1,1,2,5,1,1,1,1,1
FA0077,Sakana v1,12808e2f-34c3-4954-820f-2d299258ecae,completed,2026-04-15T01:20:52.713000,2026-04-15T02:09:13.203000,2,1,1,1,1,4,3,0,,yes,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1
FA0080,Sakana v1,23dfb70e-534a-4da6-b0f5-59792d4ce823,completed,2026-04-15T01:20:54.031000,2026-04-15T02:11:47.399000,2,1,1,1,1,5,3,0,,yes,1,1,2,1,1,5,1,1,2,1,1,5,1,1,2,1,1
FA0001,Sakana v2,1496a204-e2d5-472d-98ed-51a25071dd77,completed,2026-04-15T01:20:55.305000,2026-04-15T02:12:35.857000,2,1,2,1,1,4,3,0,,yes,1,1,2,1,1,5,1,1,1,1,2,5,1,1,2,1,1
FA0005,Sakana v2,c09524b7-2fed-4240-98dc-1ec22235d3eb,completed,2026-04-15T01:20:56.632000,2026-04-15T02:12:58.579000,2,1,2,1,1,4,3,0,,yes,1,1,2,1,2,5,1,1,1,1,1,5,1,1,2,1,1
FA0006,Sakana v2,16497fe7-e73e-41d8-86ba-56e964b8cf76,completed,2026-04-15T01:20:57.898000,2026-04-15T02:14:44.861000,2,1,1,1,2,4,3,0,,yes,1,1,2,1,1,5,1,1,1,1,2,5,1,1,1,1,2
FA0007,Sakana v2,b26b226b-727c-4157-aa11-047d034ad28a,completed,2026-04-15T01:20:59.289000,2026-04-15T02:17:02.059000,1,1,1,1,1,4,3,0,,yes,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1
FA0013,Sakana v2,639fe7f8-5159-4722-a835-2048a19cc872,completed,2026-04-15T01:21:00.618000,2026-04-15T02:18:37.129000,1,1,2,1,1,4,3,0,,yes,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1
FA0015,Sakana v2,b0e57e8e-1dc7-4b1f-96b4-017f7e42b80b,completed,2026-04-15T01:21:01.997000,2026-04-15T02:18:28.104000,2,1,1,1,2,4,3,0,,yes,1,1,1,1,2,5,1,1,1,1,2,5,1,1,1,1,2
FA0020,Sakana v2,b6c0f538-cd3b-4b3c-8220-fffc423182ff,completed,2026-04-15T01:21:03.269000,2026-04-15T02:17:56.267000,2,1,1,1,2,4,3,0,,yes,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1
FA0021,Sakana v2,a185db4b-5b6f-48d4-80e0-3560c51acf38,completed,2026-04-15T01:21:04.541000,2026-04-15T02:16:58.586000,2,1,2,1,2,4,3,0,,yes,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1
FA0035,Sakana v2,87e75dba-be9e-4aa8-98e3-91a3dcc8d587,completed,2026-04-15T01:21:05.835000,2026-04-15T02:18:58.785000,1,1,1,1,1,3,3,0,,yes,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1
FA0042,Sakana v2,fd56327c-e681-4c41-9983-38dfa6f84eea,completed,2026-04-15T01:21:07.205000,2026-04-15T02:21:57.976000,2,1,1,1,1,4,3,0,,yes,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1
FA0046,Sakana v2,e9d9ad54-5ac5-45db-b0d5-d5075bea4203,completed,2026-04-15T01:21:08.506000,2026-04-15T02:22:02.830000,1,1,1,1,1,4,3,0,,yes,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1
FA0063,Sakana v2,8829779c-d706-48ae-9d83-4023462bf370,completed,2026-04-15T01:21:09.801000,2026-04-15T02:25:48.960000,1,1,1,1,1,4,3,0,,yes,1,1,1,1,2,5,1,1,1,1,1,5,1,1,1,1,1
FA0067,Sakana v2,882862b6-6450-4f2c-9ac7-e8f54f70f323,completed,2026-04-15T01:21:11.102000,2026-04-15T02:19:38.424000,2,1,1,1,1,4,3,0,,yes,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1
FA0077,Sakana v2,f4b6b575-a04e-42bd-9155-490b78efde90,completed,2026-04-15T01:21:12.439000,2026-04-15T02:20:02.470000,2,1,2,1,1,4,3,0,,yes,1,1,1,1,1,5,1,1,1,1,1,5,1,1,1,1,1
FA0080,Sakana v2,30a45111-b0b2-4caf-b693-fd471bc51f62,completed,2026-04-15T01:21:13.751000,2026-04-15T02:20:34.146000,2,1,1,1,1,4,3,0,,yes,1,1,1,1,2,5,1,1,1,1,1,5,1,1,1,1,1
